State_Code,State_Name,District_Code,District_Name,Date,VHND_Centres_Conducted,Diarrhea_Cases,Emergency_Department_Deaths,Category
22,Chhattisgarh,378,Durg,2019-04-01,182.0,205.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-08-01,192.0,91.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-02-01,242.0,108.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-12-01,191.0,71.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-01-01,230.0,92.0,0.0,Public
22,Chhattisgarh,378,Durg,2021-05-01,220.0,86.0,0.0,Total
22,Chhattisgarh,378,Durg,2021-04-01,137.0,58.0,0.0,Rural
22,Chhattisgarh,378,Durg,2019-07-01,222.0,121.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-06-01,216.0,86.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-03-01,191.0,86.0,0.0,Public
22,Chhattisgarh,378,Durg,2020-01-01,707.0,192.0,0.0,Urban
22,Chhattisgarh,378,Durg,2019-05-01,18.0,0.0,0.0,Urban
22,Chhattisgarh,378,Durg,2019-11-01,178.0,115.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-10-01,192.0,67.0,0.0,Public
22,Chhattisgarh,378,Durg,2019-09-01,192.0,75.0,0.0,Public
22,Chhattisgarh,378,Durg,2020-04-01,40.0,15.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-08-01,708.0,220.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-12-01,802.0,180.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-02-01,40.0,23.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-05-01,40.0,11.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-07-01,40.0,5.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-06-01,32.0,2.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-11-01,707.0,167.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-10-01,38.0,7.0,0.0,Urban
22,Chhattisgarh,378,Durg,2020-09-01,36.0,1.0,0.0,Urban